attScalar, iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
1.0,30,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,31,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,31,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,32,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,32,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,33,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,33,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,34,train,2957,5,2960,8,0.997807757167,0.499746493155,0.997301854975,0.665841026796
1.0,34,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,35,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,35,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,36,train,2957,5,2960,8,0.997807757167,0.499746493155,0.997301854975,0.665841026796
1.0,36,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,37,train,2957,5,2960,8,0.997807757167,0.499746493155,0.997301854975,0.665841026796
1.0,37,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,38,train,2957,5,2960,8,0.997807757167,0.499746493155,0.997301854975,0.665841026796
1.0,38,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
1.0,39,train,2956,5,2960,9,0.997639123103,0.499661933739,0.996964586847,0.665690800586
1.0,39,test,850,3,854,7,0.994165694282,0.49882629108,0.991831971995,0.663803201874
0.9,0,train,63,2923,42,2902,0.0177065767285,0.6,0.0212478920742,0.0410423452769
0.9,0,test,17,839,18,840,0.0204200700117,0.485714285714,0.0198366394399,0.0381165919283
0.9,1,train,51,2932,33,2914,0.0141652613828,0.607142857143,0.0172006745363,0.0334535913414
0.9,1,test,14,839,18,843,0.0186697782964,0.4375,0.0163360560093,0.0314960629921
0.9,2,train,52,2932,33,2913,0.0143338954469,0.611764705882,0.0175379426644,0.0340983606557
0.9,2,test,14,840,17,843,0.0180863477246,0.451612903226,0.0163360560093,0.0315315315315
0.9,3,train,52,2932,33,2913,0.0143338954469,0.611764705882,0.0175379426644,0.0340983606557
0.9,3,test,14,840,17,843,0.0180863477246,0.451612903226,0.0163360560093,0.0315315315315
0.9,4,train,54,2933,32,2911,0.014502529511,0.627906976744,0.0182124789207,0.0353982300885
0.9,4,test,14,840,17,843,0.0180863477246,0.451612903226,0.0163360560093,0.0315315315315
0.9,5,train,55,2933,32,2910,0.014671163575,0.632183908046,0.0185497470489,0.0360419397117
0.9,5,test,15,841,16,842,0.0180863477246,0.483870967742,0.0175029171529,0.0337837837838
0.9,6,train,57,2931,34,2908,0.0153456998314,0.626373626374,0.0192242833052,0.0373036649215
0.9,6,test,15,840,17,842,0.0186697782964,0.46875,0.0175029171529,0.0337457817773
0.9,7,train,59,2927,38,2906,0.0163575042159,0.60824742268,0.0198988195616,0.0385369039843
0.9,7,test,16,838,19,841,0.0204200700117,0.457142857143,0.0186697782964,0.0358744394619
0.9,8,train,70,2919,46,2895,0.0195615514334,0.603448275862,0.0236087689713,0.0454397922752
0.9,8,test,16,836,21,841,0.0215869311552,0.432432432432,0.0186697782964,0.0357941834452
0.9,9,train,79,2912,53,2886,0.0222596964587,0.598484848485,0.0266441821248,0.0510171133355
0.9,9,test,20,834,23,837,0.0250875145858,0.46511627907,0.0233372228705,0.0444444444444
0.9,10,train,83,2913,52,2882,0.0227655986509,0.614814814815,0.0279932546374,0.0535483870968
0.9,10,test,22,832,25,835,0.0274212368728,0.468085106383,0.0256709451575,0.0486725663717
0.9,11,train,108,2895,70,2857,0.0300168634064,0.606741573034,0.0364249578415,0.0687241489023
0.9,11,test,34,829,28,823,0.0361726954492,0.548387096774,0.0396732788798,0.0739934711643
0.9,12,train,130,2888,77,2835,0.0349072512648,0.628019323671,0.043844856661,0.0819672131148
0.9,12,test,47,819,38,810,0.0495915985998,0.552941176471,0.0548424737456,0.0997876857749
0.9,13,train,217,2838,127,2748,0.0580101180438,0.630813953488,0.0731871838111,0.13115744938
0.9,13,test,61,800,57,796,0.0688448074679,0.516949152542,0.071178529755,0.125128205128
0.9,14,train,888,2076,889,2077,0.299662731872,0.499718626899,0.299494097808,0.37452551666
0.9,14,test,251,585,272,606,0.305134189032,0.479923518164,0.292882147025,0.363768115942
0.9,15,train,396,2718,247,2569,0.108431703204,0.615863141524,0.133558178752,0.219512195122
0.9,15,test,95,759,98,762,0.11260210035,0.492227979275,0.110851808635,0.180952380952
0.9,16,train,462,2694,271,2503,0.123608768971,0.630286493861,0.155817875211,0.249864791779
0.9,16,test,110,745,112,747,0.129521586931,0.495495495495,0.128354725788,0.203892493049
0.9,17,train,449,2710,255,2516,0.118718381113,0.637784090909,0.151433389545,0.244753338784
0.9,17,test,110,750,107,747,0.126604434072,0.506912442396,0.128354725788,0.204841713222
0.9,18,train,509,2677,288,2456,0.134401349073,0.638644918444,0.171669477234,0.270600744285
0.9,18,test,121,738,119,736,0.140023337223,0.504166666667,0.141190198366,0.220601640839
0.9,19,train,522,2673,292,2443,0.137268128162,0.641277641278,0.176053962901,0.276263561789
0.9,19,test,119,732,125,738,0.14235705951,0.487704918033,0.138856476079,0.216167120799
0.9,20,train,586,2627,338,2379,0.155817875211,0.634199134199,0.197639123103,0.301362818205
0.9,20,test,143,712,145,714,0.168028004667,0.496527777778,0.166861143524,0.249781659389
