iteration, data, tp, tn, fp, fn, accuracy, precision, recall, F-1 measure
37,test,669,219,638,188,0.762543757293,0.511859219587,0.780630105018,0.618299445471
38,train,2147,1039,1926,818,0.686846543002,0.527129879696,0.724114671164,0.610116510372
38,test,617,262,595,240,0.707117852975,0.509075907591,0.719953325554,0.596423392943
39,train,1967,1218,1747,998,0.626306913997,0.529617662897,0.663406408094,0.589010330888
39,test,584,322,535,273,0.652858809802,0.521894548704,0.681446907818,0.591093117409
40,train,1881,1293,1672,1084,0.59915682968,0.529411764706,0.634401349073,0.577170911322
40,test,541,327,530,316,0.624854142357,0.505135387488,0.631271878646,0.561203319502
41,train,1771,1478,1487,1194,0.549409780776,0.543585021486,0.597301854975,0.569178852643
41,test,499,391,466,358,0.56301050175,0.517098445596,0.582263710618,0.547749725576
42,train,1783,1376,1589,1182,0.568634064081,0.528766310795,0.601349072513,0.562726842354
42,test,510,403,454,347,0.562427071179,0.529045643154,0.595099183197,0.560131795717
43,train,1941,1249,1716,1024,0.616694772344,0.530762920427,0.654637436762,0.586227725763
43,test,566,340,517,291,0.631855309218,0.522622345337,0.660443407235,0.583505154639
44,train,1811,1351,1614,1154,0.577571669477,0.528759124088,0.610792580101,0.566823161189
44,test,527,380,477,330,0.585764294049,0.524900398406,0.614935822637,0.566362170876
45,train,2033,1047,1918,932,0.666273187184,0.514553277651,0.685666104553,0.587912087912
45,test,608,284,573,249,0.689031505251,0.514817950889,0.709451575263,0.596663395486
46,train,1624,1482,1483,1341,0.523946037099,0.522690698423,0.547723440135,0.534914361001
46,test,496,408,449,361,0.551341890315,0.524867724868,0.578763127188,0.550499445061
47,train,1704,1451,1514,1261,0.542664418212,0.529521441889,0.574704890388,0.551188743328
47,test,519,400,457,338,0.56942823804,0.531762295082,0.605600933489,0.566284779051
48,train,1630,1476,1489,1335,0.525969645868,0.522603398525,0.549747048904,0.535831689678
48,test,476,395,462,381,0.547257876313,0.507462686567,0.555425904317,0.530362116992
49,train,1449,1669,1296,1516,0.462900505902,0.527868852459,0.488701517707,0.507530647986
49,test,435,469,388,422,0.48016336056,0.528554070474,0.507584597433,0.517857142857
50,train,1416,1698,1267,1549,0.452445193929,0.527767424525,0.477571669477,0.501416430595
50,test,407,492,365,450,0.4504084014,0.527202072539,0.474912485414,0.499693063229
51,train,1510,1600,1365,1455,0.484822934233,0.525217391304,0.509274873524,0.517123287671
51,test,446,425,432,411,0.512252042007,0.507972665148,0.520420070012,0.514121037464
52,train,1410,1723,1242,1555,0.447217537943,0.531674208145,0.475548060708,0.50204735624
52,test,417,473,384,440,0.467327887981,0.520599250936,0.486581096849,0.503015681544
53,train,1564,1543,1422,1401,0.503541315346,0.523777628935,0.527487352445,0.525625945219
53,test,453,445,412,404,0.504667444574,0.523699421965,0.528588098016,0.526132404181
54,train,1484,1589,1376,1481,0.482293423272,0.518881118881,0.500505902192,0.509527896996
54,test,465,463,394,392,0.501166861144,0.541327124563,0.542590431739,0.541958041958
55,train,1529,1485,1480,1436,0.50741989882,0.508142239947,0.51568296796,0.511884834282
55,test,483,438,419,374,0.526254375729,0.535476718404,0.563593932322,0.549175667993
56,train,1341,1696,1269,1624,0.440134907251,0.513793103448,0.452276559865,0.481076233184
56,test,416,477,380,441,0.464410735123,0.522613065327,0.485414235706,0.503327283727
57,train,1568,1584,1381,1397,0.497301854975,0.531705662937,0.528836424958,0.530267162665
57,test,468,443,414,389,0.514585764294,0.530612244898,0.546091015169,0.538240368028
58,train,1298,1745,1220,1667,0.424620573356,0.515488482923,0.437774030354,0.473463432428
58,test,415,504,353,442,0.448074679113,0.540364583333,0.484247374562,0.510769230769
59,train,1609,1533,1432,1356,0.51281618887,0.52910226899,0.542664418212,0.535797535798
59,test,477,439,418,380,0.522170361727,0.532960893855,0.556592765461,0.544520547945
60,train,1610,1495,1470,1355,0.519392917369,0.522727272727,0.543001686341,0.532671629446
60,test,475,436,421,382,0.522753792299,0.530133928571,0.554259043174,0.541928123217
61,train,1558,1551,1414,1407,0.501180438449,0.524226110363,0.525463743676,0.524844197406
61,test,458,444,413,399,0.508168028005,0.525832376579,0.534422403734,0.530092592593
62,train,1271,1784,1181,1694,0.413490725126,0.518352365416,0.428667790894,0.469263429943
62,test,388,511,346,469,0.428238039673,0.528610354223,0.452742123687,0.487743557511
63,train,1742,1338,1627,1223,0.568128161889,0.517067379044,0.587521079258,0.550047363435
63,test,514,390,467,343,0.572345390898,0.523955147808,0.599766627771,0.55930359086
64,train,1804,1270,1695,1161,0.590050590219,0.515575878823,0.608431703204,0.558168316832
64,test,533,357,500,324,0.60268378063,0.515972894482,0.621936989498,0.564021164021
65,train,1777,1333,1632,1188,0.574873524452,0.521267233793,0.599325463744,0.557577659241
65,test,520,387,470,337,0.577596266044,0.525252525253,0.606767794632,0.563075257174
66,train,1845,1237,1728,1120,0.602529510961,0.51637279597,0.622259696459,0.564392780667
66,test,561,340,517,296,0.628938156359,0.520408163265,0.654609101517,0.57984496124
67,train,1786,1242,1723,1179,0.59173693086,0.5089769165,0.602360876897,0.551745443312
67,test,526,363,494,331,0.595099183197,0.51568627451,0.613768961494,0.560468833245
68,train,1909,1197,1768,1056,0.620067453626,0.519173239054,0.643844856661,0.57482685938
68,test,566,335,522,291,0.634772462077,0.520220588235,0.660443407235,0.582005141388
69,train,1954,1145,1820,1011,0.636424957841,0.517753047165,0.659021922428,0.579907998219
69,test,560,343,514,297,0.626604434072,0.521415270019,0.653442240373,0.580010357328
70,train,2050,1049,1916,915,0.668802698145,0.516893595562,0.691399662732,0.591545231568
70,test,609,321,536,248,0.668028004667,0.531877729258,0.710618436406,0.608391608392
71,train,1937,1155,1810,1028,0.631871838111,0.516946890846,0.65328836425,0.577175208582
71,test,574,344,513,283,0.634189031505,0.528058877645,0.669778296383,0.590534979424
72,train,2024,1040,1925,941,0.665935919056,0.512534818942,0.6826306914,0.585478738791
72,test,599,315,542,258,0.66569428238,0.524978089395,0.698949824971,0.5995995996
73,train,1916,1146,1819,1049,0.629848229342,0.512985274431,0.646205733558,0.571940298507
73,test,571,347,510,286,0.630688448075,0.528214616096,0.666277712952,0.589267285862
74,train,1773,1302,1663,1192,0.579426644182,0.516006984866,0.597976391231,0.553975941259
74,test,524,363,494,333,0.593932322054,0.514734774067,0.611435239207,0.558933333333
75,train,1543,1543,1422,1422,0.5,0.520404721754,0.520404721754,0.520404721754
75,test,459,468,389,398,0.494749124854,0.541273584906,0.535589264877,0.538416422287
76,train,1769,1326,1639,1196,0.574704890388,0.519072769953,0.596627318718,0.555154558293
76,test,533,395,462,324,0.580513418903,0.53567839196,0.621936989498,0.575593952484
77,train,1546,1527,1438,1419,0.503204047218,0.518096514745,0.521416526138,0.519751218692
77,test,452,418,439,405,0.51983663944,0.507295173962,0.527421236873,0.517162471396
78,train,1632,1437,1528,1333,0.532883642496,0.516455696203,0.55042158516,0.532897959184
78,test,489,441,416,368,0.528004667445,0.540331491713,0.570595099183,0.55505107832
79,train,1404,1646,1319,1561,0.459190556492,0.515607785531,0.473524451939,0.493670886076
79,test,428,482,375,429,0.468494749125,0.53300124533,0.499416569428,0.515662650602
80,train,1417,1619,1346,1548,0.465935919056,0.512848353239,0.477908937605,0.494762569832
80,test,439,468,389,418,0.483080513419,0.530193236715,0.512252042007,0.521068249258
81,train,1527,1542,1423,1438,0.497470489039,0.517627118644,0.515008431703,0.516314454776
81,test,467,450,407,390,0.50991831972,0.534324942792,0.544924154026,0.539572501444
82,train,1142,1936,1029,1823,0.36610455312,0.52602487333,0.385160202361,0.444704049844
82,test,340,553,304,517,0.375729288215,0.527950310559,0.396732788798,0.453031312458
83,train,1195,1871,1094,1770,0.386003372681,0.522062035824,0.403035413153,0.45489151123
83,test,346,545,312,511,0.383897316219,0.525835866261,0.403733955659,0.456765676568
84,train,1472,1660,1305,1493,0.468296795953,0.530068419157,0.496458684654,0.5127133403
84,test,440,485,372,417,0.473745624271,0.541871921182,0.513418903151,0.527261833433
85,train,895,2123,842,2070,0.292917369309,0.515256188831,0.301854974705,0.380689068481
85,test,261,614,243,596,0.294049008168,0.517857142857,0.30455075846,0.383541513593
86,train,887,2129,836,2078,0.290556492411,0.514799767847,0.29915682968,0.378412969283
86,test,273,601,256,584,0.308634772462,0.51606805293,0.318553092182,0.393939393939
87,train,843,2175,790,2122,0.275379426644,0.516227801592,0.28431703204,0.366681165724
87,test,239,614,243,618,0.281213535589,0.495850622407,0.278879813302,0.356982823002
88,train,946,2105,860,2019,0.30455311973,0.52380952381,0.319055649241,0.3965625655
88,test,291,611,246,566,0.313302217036,0.541899441341,0.339556592765,0.417503586801
89,train,605,2411,554,2360,0.19544688027,0.522001725626,0.204047217538,0.293404461688
89,test,189,684,173,668,0.211201866978,0.522099447514,0.220536756126,0.3100902379
90,train,409,2565,400,2556,0.136424957841,0.505562422744,0.137942664418,0.216746157923
90,test,129,740,117,728,0.143523920653,0.524390243902,0.150525087515,0.233907524932
91,train,370,2627,338,2595,0.119392917369,0.522598870056,0.12478920742,0.201470187857
91,test,103,769,88,754,0.111435239207,0.539267015707,0.120186697783,0.196564885496
92,train,428,2596,369,2537,0.134401349073,0.537013801757,0.144350758853,0.227538543328
92,test,119,758,99,738,0.127187864644,0.545871559633,0.138856476079,0.221395348837
93,train,433,2552,413,2532,0.142664418212,0.511820330969,0.146037099494,0.227236945684
93,test,125,733,124,732,0.145274212369,0.502008032129,0.14585764294,0.226039783002
94,train,583,2447,518,2382,0.185666104553,0.529518619437,0.196627318718,0.286768322676
94,test,165,701,156,692,0.187281213536,0.514018691589,0.192532088681,0.28013582343
95,train,552,2448,517,2413,0.180269814503,0.516370439663,0.186172006745,0.27367377293
95,test,167,692,165,690,0.193698949825,0.503012048193,0.194865810968,0.280908326325
96,train,586,2443,522,2379,0.186846543002,0.528880866426,0.197639123103,0.287748588264
96,test,160,701,156,697,0.184364060677,0.506329113924,0.186697782964,0.272804774084
97,train,514,2490,475,2451,0.166779089376,0.519716885743,0.173355817875,0.259989883662
97,test,137,712,145,720,0.164527421237,0.485815602837,0.159859976663,0.2405618964
98,train,451,2575,390,2514,0.141821247892,0.536266349584,0.152107925801,0.236994219653
98,test,128,743,114,729,0.141190198366,0.528925619835,0.149358226371,0.232939035487
99,train,549,2483,482,2416,0.173861720067,0.532492725509,0.185160202361,0.274774774775
99,test,161,712,145,696,0.178529754959,0.52614379085,0.187864644107,0.276870163371
